wavelength_nm,median_reflectance
1000.0,0.0
1005.226480836237,0.982749803999447
1010.4529616724739,0.978657483458302
1015.6794425087108,0.997736950565512
1020.9059233449477,1.1297358378379017
1026.1324041811847,0.992321896170881
1031.3588850174217,0.9867664863455647
1036.5853658536585,0.9896125960854968
1041.8118466898954,0.9912436467966915
1047.0383275261324,0.9838065879000724
1052.2648083623694,0.9931112154181932
1057.4912891986062,0.9893116496031915
1062.7177700348432,0.9891689138299156
1067.9442508710802,1.0007578813706601
1073.1707317073171,0.9979234703190951
1078.397212543554,0.9933062403684488
1083.623693379791,0.9839089929729936
1088.8501742160279,0.9868012642350891
1094.0766550522649,0.9849943207606471
1099.3031358885019,0.9913304608094498
1104.5296167247386,0.9826373151617176
1109.7560975609756,0.983311984783042
1114.9825783972126,0.9848957149435539
1120.2090592334494,0.9832514352749457
1125.4355400696863,0.9813303886837117
1130.6620209059233,0.9865950519907241
1135.8885017421603,0.9853518986799625
1141.1149825783973,0.9851868760648542
1146.341463414634,0.979872950552372
1151.567944250871,0.9792477496450758
1156.794425087108,0.9792923230302246
1162.020905923345,0.9868330309887895
1167.2473867595818,0.9867732578536405
1172.4738675958188,0.9832047397103046
1177.7003484320558,0.9882036611883878
1182.9268292682927,0.9787515042167402
1188.1533101045295,0.9808218772284699
1193.3797909407665,0.9868380819323785
1198.6062717770035,0.9815901159463418
1203.8327526132405,0.9824047497793632
1209.0592334494772,0.9841496193944321
1214.2857142857142,0.9867860964280661
1219.5121951219512,0.9749430755507634
1224.7386759581882,0.9856844487105407
1229.9651567944252,0.9969947790137529
1235.191637630662,0.9807951729439546
1240.418118466899,0.9815443429550191
1245.644599303136,0.9763292966098216
1250.8710801393727,0.9889015571856143
1256.0975609756097,1.0532928618169066
1261.3240418118467,1.0207119695551867
1266.5505226480836,0.9819930721969979
1271.7770034843206,0.9757519048164087
1277.0034843205574,0.982540260965113
1282.2299651567944,0.9862621463235968
1287.4564459930314,0.9881104048755213
1292.6829268292684,0.982856461909424
1297.9094076655051,0.9888389724550699
1303.135888501742,0.980538859266668
1308.362369337979,0.9854595283482197
1313.588850174216,0.9904317496257062
1318.815331010453,0.9815361806218686
1324.0418118466898,0.9790226071330465
1329.2682926829268,0.9876123516443267
1334.4947735191638,0.985776059230578
1339.7212543554006,0.9814520638900824
1344.9477351916375,0.9886254860665994
1350.1742160278745,0.9806775252416954
1355.4006968641115,0.9848829204309105
1360.6271777003485,0.9823583502966526
1365.8536585365853,0.9838150679390187
1371.0801393728223,0.9835528470870776
1376.3066202090592,0.9891958546108534
1381.533101045296,0.9867017741918659
1386.759581881533,0.9851573127181689
1391.98606271777,0.9826552357503552
1397.212543554007,0.9855358047300423
1402.439024390244,0.9878301188897592
1407.665505226481,0.9838119164018304
1412.8919860627177,0.9759636751644162
1418.1184668989547,0.9864486007043934
1423.3449477351917,1.0666541589385072
1428.5714285714284,0.979297620330364
1433.7979094076654,0.9883125294494688
1439.0243902439024,0.9775008012086805
1444.2508710801394,0.9822063999983538
1449.4773519163764,0.9789379582659301
1454.7038327526132,0.9861178095186163
1459.9303135888501,0.985928713894739
1465.1567944250871,0.9802722238368041
1470.383275261324,0.9812945070806665
1475.6097560975609,0.9796763473456371
1480.8362369337979,0.9809246797021359
1486.0627177700349,0.9845443798481301
1491.2891986062718,0.983903492284081
1496.5156794425086,0.984220728717791
1501.7421602787456,0.9853459845537166
1506.9686411149826,0.9842077787154427
1512.1951219512193,0.9857684428732028
1517.4216027874563,0.9853987070317678
1522.6480836236933,0.9856915678689665
1527.8745644599303,0.985168759661887
1533.1010452961673,0.9851741982154328
1538.3275261324043,0.985912873056127
1543.554006968641,0.9858355343412127
1548.780487804878,0.9865786502996894
1554.0069686411148,0.986550300429207
1559.2334494773518,0.9818399917224582
1564.4599303135888,0.9869582489069425
1569.6864111498257,0.9880843311630506
1574.9128919860627,0.9884314805390434
1580.1393728222997,0.9886751271737713
1585.3658536585367,0.9889398521044905
1590.5923344947735,0.9890014412797976
1595.8188153310105,0.9895721573257663
1601.0452961672472,0.9900778497580252
1606.2717770034842,0.9892312331153549
1611.4982578397212,0.989636322594152
1616.7247386759582,0.9903735604599331
1621.9512195121952,0.9903163641232281
1627.1777003484322,0.9899147670240808
1632.404181184669,0.9903913979037433
1637.630662020906,0.9906878056491902
1642.8571428571427,0.984453928566578
1648.0836236933796,0.9901834383127827
1653.3101045296166,0.9907288366974194
1658.5365853658536,0.991037102080486
1663.7630662020906,0.9911268175070536
1668.9895470383276,0.9909841296390313
1674.2160278745646,0.9909829610450861
1679.4425087108013,0.9915622078897849
1684.6689895470383,0.9912877169285484
1689.895470383275,0.9913108122022075
1695.121951219512,0.9915623186337874
1700.348432055749,0.991901391319938
1705.574912891986,0.992400350811987
1710.801393728223,0.9923426973250676
1716.02787456446,0.9921432752686844
1721.2543554006968,0.9919301972940708
1726.4808362369338,0.9920956635776796
1731.7073170731705,0.9923652597644451
1736.9337979094075,0.9919967724480805
1742.1602787456445,0.9922281408286877
1747.3867595818815,0.9920724493945484
1752.6132404181185,0.9928305362408684
1757.8397212543555,0.9919512183541547
1763.0662020905922,0.9922723477406763
1768.2926829268292,0.9918246803287111
1773.519163763066,0.9915659619045496
1778.745644599303,0.9910487805125092
1783.97212543554,0.9915574933911916
1789.198606271777,0.9915869476231183
1794.425087108014,0.9917837369461044
1799.651567944251,0.9914852041524151
1804.878048780488,0.9917746189780744
